ds,y_true,y_pred,residual
2022-06-01,638.0500000000001,769.7436666666649,-131.69366666666485
2022-06-02,594.9,770.5279999999993,-175.62799999999936
2022-06-03,734.9,836.8696666666667,-101.96966666666674
2022-06-04,1106.35,979.2661666666665,127.08383333333336
2022-06-05,1756.1,1589.9373333333342,166.1626666666657
2022-06-06,1682.25,1093.1393333333322,589.1106666666678
2022-06-07,630.2,1059.0300000000004,-428.8300000000004
2022-06-08,579.35,856.068333333331,-276.718333333331
2022-06-09,602.3,893.8049999999988,-291.50499999999886
2022-06-10,709.0,921.9726666666648,-212.97266666666485
2022-06-11,1027.7,972.031766666667,55.66823333333309
2022-06-12,1168.3,1498.4995000000015,-330.19950000000154
2022-06-13,710.8,1028.6541666666678,-317.8541666666679
2022-06-14,703.25,675.9570000000006,27.292999999999438
2022-06-15,620.6,668.0078333333339,-47.40783333333388
2022-06-16,606.85,650.2405000000014,-43.39050000000134
2022-06-17,640.3,700.4434666666674,-60.14346666666745
2022-06-18,1027.05,942.0913666666664,84.95863333333352
2022-06-19,1523.0,1457.3626666666707,65.63733333332925
2022-06-20,690.8,711.8510000000001,-21.05100000000016
2022-06-21,616.8000000000001,672.3596666666672,-55.55966666666711
2022-06-22,517.5,656.0445000000017,-138.54450000000168
2022-06-23,614.3000000000001,632.7765000000004,-18.47650000000033
2022-06-24,801.9,706.3441666666665,95.55583333333345
2022-06-25,964.45,988.4585999999998,-24.008599999999774
2022-06-26,1263.2,1343.6470666666698,-80.4470666666698
2022-06-27,770.25,691.5005000000014,78.74949999999865
2022-06-28,607.1,686.1923333333342,-79.09233333333418
2022-06-29,609.15,651.6383333333338,-42.4883333333338
2022-06-30,769.6,678.9249333333339,90.67506666666611
2022-07-01,836.05,716.3957000000009,119.65429999999901
2022-07-02,955.85,974.9036666666666,-19.053666666666572
2022-07-03,1746.05,1489.3618333333352,256.68816666666476
2022-07-04,875.65,929.8373333333332,-54.187333333333186
2022-07-05,862.2,878.3983333333312,-16.198333333331107
2022-07-06,753.25,870.4763333333312,-117.22633333333124
2022-07-07,960.95,854.8649999999991,106.08500000000095
2022-07-08,952.2,979.8248333333325,-27.624833333332504
2022-07-09,1355.65,1201.0934999999997,154.55650000000037
2022-07-10,1948.75,1682.5518333333328,266.19816666666725
2022-07-11,1308.05,1317.8514999999966,-9.801499999996622
2022-07-12,1182.65,1203.504999999998,-20.854999999997972
2022-07-13,1368.85,1194.300333333333,174.549666666667
2022-07-14,2098.65,1499.266999999999,599.3830000000012
2022-07-15,1904.55,1521.913666666663,382.636333333337
2022-07-16,2334.0,2069.425833333334,264.57416666666586
2022-07-17,2656.95,2287.817833333334,369.13216666666585
2022-07-18,1584.95,1766.578499999999,-181.6284999999989
2022-07-19,1286.9,1660.5346666666678,-373.6346666666677
2022-07-20,1323.9,1625.0406666666665,-301.14066666666645
2022-07-21,1332.1,1682.282999999998,-350.1829999999982
2022-07-22,1374.6,1629.6166666666657,-255.01666666666574
2022-07-23,1967.92,1921.8523333333346,46.067666666665446
2022-07-24,2205.4,2264.999333333334,-59.599333333334016
2022-07-25,1584.85,1489.9851666666673,94.86483333333263
2022-07-26,1408.05,1434.4026666666687,-26.35266666666871
2022-07-27,1312.9,1433.657166666668,-120.7571666666679
2022-07-28,1481.65,1464.138333333334,17.511666666666088
2022-07-29,1306.15,1397.4033333333339,-91.25333333333379
2022-07-30,1840.0,1797.4088333333339,42.59116666666614
2022-07-31,2486.55,2081.1280000000015,405.42199999999866
2022-08-01,1796.2,1627.3720000000005,168.82799999999952
2022-08-02,1694.4,1614.8855000000003,79.51449999999977
2022-08-03,1475.1,1631.6620000000019,-156.56200000000194
2022-08-04,1680.65,1645.6293333333351,35.020666666664965
2022-08-05,1728.85,1648.7678333333367,80.08216666666317
2022-08-06,1964.7000000000005,1911.2321666666714,53.467833333329054
2022-08-07,2487.9,2327.659666666672,160.24033333332818
2022-08-08,2192.35,1709.4959999999994,482.8540000000005
2022-08-09,1695.2,1726.9268333333305,-31.726833333330433
2022-08-10,1801.05,1680.7221666666678,120.32783333333214
2022-08-11,1945.95,1647.6226666666676,298.3273333333325
2022-08-12,1960.85,1704.3686666666674,256.4813333333325
2022-08-13,2133.05,2273.515333333338,-140.46533333333764
2022-08-14,3184.1,2380.2565000000022,803.8434999999977
2022-08-15,2348.7,1777.1761666666662,571.5238333333336
2022-08-16,1733.2,1694.2951666666665,38.9048333333335
2022-08-17,1605.35,1721.5289999999984,-116.1789999999985
2022-08-18,1830.05,1687.242000000002,142.80799999999795
2022-08-19,1440.15,1707.7421666666678,-267.5921666666677
2022-08-20,2153.6,1997.30516666667,156.29483333332996
2022-08-21,2571.0,2375.666833333336,195.33316666666406
2022-08-22,1656.0,1711.1125000000022,-55.11250000000223
2022-08-23,1356.15,1487.6946666666686,-131.5446666666685
2022-08-24,1350.95,1501.9296666666703,-150.97966666667025
2022-08-25,1195.85,1531.4746666666701,-335.62466666667024
2022-08-26,1023.05,1621.3961666666653,-598.3461666666653
2022-08-27,1261.0500000000002,1662.267333333334,-401.2173333333337
2022-08-28,1946.05,1748.4286666666678,197.62133333333213
2022-08-29,937.4,1210.1613333333346,-272.7613333333346
2022-08-30,1030.65,985.9221666666654,44.72783333333473
2022-08-31,678.1,1048.262166666666,-370.16216666666594
2022-09-01,0.0,782.320599999999,-782.320599999999
2022-09-02,703.25,742.0741666666662,-38.8241666666662
2022-09-03,935.1,973.8958666666675,-38.79586666666751
2022-09-04,1162.2,1397.5617333333353,-235.36173333333522
2022-09-05,865.0,724.7388333333334,140.26116666666655
2022-09-06,608.5,721.4564333333334,-112.9564333333334
2022-09-07,599.05,618.8950999999993,-19.84509999999932
2022-09-08,611.45,644.9962666666678,-33.54626666666775
2022-09-09,740.55,700.436266666667,40.1137333333329
2022-09-10,890.95,923.2706666666669,-32.32066666666685
2022-09-11,1413.3,1159.4173666666675,253.88263333333248
2022-09-12,693.95,710.5913333333341,-16.641333333334046
2022-09-13,512.45,678.5888333333334,-166.1388333333333
2022-09-14,588.8,583.7600000000003,5.039999999999623
2022-09-15,624.95,649.9641666666668,-25.01416666666671
2022-09-16,696.35,692.7003666666668,3.649633333333213
2022-09-17,1024.6,891.0748333333333,133.52516666666656
2022-09-18,1199.7,1317.6554666666705,-117.95546666667042
2022-09-19,0.0,503.1978333333333,-503.1978333333333
2022-09-20,619.15,549.721833333333,69.42816666666693
2022-09-21,549.05,626.9828333333331,-77.93283333333318
2022-09-22,593.85,646.0686666666662,-52.218666666666195
2022-09-23,654.95,669.7351666666659,-14.785166666665873
2022-09-24,846.45,897.9524999999992,-51.502499999999145
2022-09-25,1152.85,1118.865766666666,33.984233333333805
2022-09-26,693.75,540.5691666666671,153.18083333333288
2022-09-27,746.45,693.9446666666676,52.50533333333249
2022-09-28,610.7,662.2850000000005,-51.58500000000049
2022-09-29,689.2,682.7381666666671,6.461833333332947
2022-09-30,795.95,748.0726666666677,47.87733333333233
